 %self     total     self     wait    child    calls  name
 60.47    437.34   300.53     0.00   147.39       14  Kernel#gem_original_require
 11.44    496.04    56.86     0.00   439.17        1  Kernel#load
  9.28     72.64    46.12     0.00    27.02       37  Array#each
  7.42     37.10    36.88     0.00     0.22       17  Module#define_method
  1.73      8.60     8.60     0.00     0.00        8  <Class::File>#expand_path
  0.52      2.56     2.56     0.00     0.00       14  <Class::File>#join
  0.45      2.24     2.24     0.00     0.00       26  String#+
  0.32      1.57     1.57     0.00     0.00       18  <Class::File>#dirname
  0.31      2.37     1.55     0.00     0.82       10  String#gsub
  0.29      1.45     1.45     0.00     0.00      128  Kernel#singleton_method_added
  0.26      1.31     1.31     0.00     0.00       18  <Module::Gem>#unresolved_deps
  0.25      1.23     1.23     0.00     0.00       18  Hash#empty?
  0.25      1.23     1.23     0.00     0.00      117  Module#method_added
  0.25      1.23     1.23     0.00     0.00        2  String#end_with?
  0.22      1.09     1.09     0.00     0.00        3  Exception#initialize
  0.20      1.02     1.02     0.00     0.00       16  <Class::Object>#allocate
  0.19      0.95     0.95     0.00     0.00       13  Module#autoload
  0.19    496.96     0.92     0.00   496.04        1  Global#[No method]
  0.18    438.81     0.89     0.00   438.36       14  Kernel#require
  0.17     14.40     0.83     0.00    13.57       16  Gem::Specification#full_gem_path
  0.16      0.80     0.80     0.00     0.00       13  String#==
  0.16      0.80     0.80     0.00     0.00        5  Exception#exception
  0.16      0.80     0.80     0.00     0.00        5  Module#===
  0.16      0.80     0.80     0.00     0.00        5  Exception#backtrace
  0.14      0.70     0.70     0.00     0.00       13  Hash#[]=
  0.14      3.63     0.67     0.00     2.96        7  Gem::Specification#gems_dir
  0.14      1.61     0.67     0.00     0.94        7  Gem::Specification#base_dir
  0.13      0.88     0.66     0.00     0.22        1  Module#module_function
  0.13      1.08     0.64     0.00     0.44       17  Module#attr_reader
  0.12      0.61     0.61     0.00     0.00       17  Symbol#to_s
  0.12      0.59     0.59     0.00     0.00        1  Array#uniq
  0.12      0.58     0.58     0.00     0.00       13  String#to_sym
  0.12      0.58     0.58     0.00     0.00        2  Module#private
  0.12      0.94     0.58     0.00     0.36       15  Hash#[]
  0.12      0.58     0.58     0.00     0.00        3  Exception#set_backtrace
  0.12      2.11     0.58     0.00     1.53        3  Class#new
  0.12      0.58     0.58     0.00     0.00       18  IO#write
  0.12      0.58     0.58     0.00     0.00        6  Class#inherited
  0.12     38.87     0.58     0.00    38.29       17  Module#class_eval
  0.10      2.43     0.50     0.00     1.93       16  <Module::Gem>#suffixes
  0.10      0.48     0.48     0.00     0.00        2  <Class::Gem::Specification>#_all
  0.09      1.13     0.46     0.00     0.67        7  Gem::Specification#full_name
  0.09     18.14     0.45     0.00    17.69       16  Gem::Specification#contains_requirable_file?
  0.09     19.65     0.45     0.00    19.20        2  <Class::Gem::Specification>#each
  0.09      0.45     0.45     0.00     0.00        7  Gem::Specification#platform
  0.09     20.46     0.45     0.00    20.01        2  <Class::Gem::Specification>#find_by_path
  0.09     39.32     0.45     0.00    38.87       17  Deprecate#deprecate
  0.09      0.80     0.44     0.00     0.36        1  <Module::Gem>#marshal_version
  0.09     20.90     0.44     0.00    20.46        2  <Module::Gem>#try_activate
  0.08      0.41     0.41     0.00     0.00       27  String#[]
  0.08      0.41     0.41     0.00     0.00       27  String#upcase
  0.08      0.39     0.39     0.00     0.00        1  Array#compact
  0.08      0.96     0.38     0.00     0.58        1  Array#map
  0.07      0.36     0.36     0.00     0.00        2  Fixnum#to_s
  0.07      0.36     0.36     0.00     0.00       48  <Class::File>#file?
  0.07     20.01     0.36     0.00    19.65        2  Enumerable#find
  0.07      0.80     0.36     0.00     0.44        2  Kernel#raise
  0.07      0.36     0.36     0.00     0.00        1  Module#extended
  0.07      1.08     0.36     0.00     0.72        1  Module#include
  0.07      0.36     0.36     0.00     0.00        1  Module#method_removed
  0.07      0.36     0.36     0.00     0.00        1  Module#extend_object
  0.07      1.08     0.36     0.00     0.72        1  Kernel#extend
  0.07      0.36     0.36     0.00     0.00        1  Hash#default
  0.07      0.72     0.36     0.00     0.36        1  Module#remove_method
  0.07      0.36     0.36     0.00     0.00        7  <Class::File>#directory?
  0.07      0.36     0.36     0.00     0.00        1  String#<=>
  0.07      0.36     0.36     0.00     0.00        1  Module#protected
  0.07      0.36     0.36     0.00     0.00        1  Module#append_features
  0.07      0.36     0.36     0.00     0.00        2  Kernel#block_given?
  0.07      0.36     0.36     0.00     0.00        1  Module#included
  0.07      0.36     0.36     0.00     0.00        2  String#empty?
  0.07      0.72     0.36     0.00     0.36        2  Module#attr_accessor
  0.07      0.36     0.36     0.00     0.00        5  Module#private_class_method
  0.07      0.72     0.36     0.00     0.36        1  Comparable#<
  0.07      0.58     0.36     0.00     0.22        4  Kernel#===
  0.07      0.36     0.36     0.00     0.00        2  Exception#to_s
  0.07      0.72     0.36     0.00     0.36        2  Exception#message
  0.07      0.58     0.36     0.00     0.22       17  Module#alias_method
  0.07      0.36     0.36     0.00     0.00        1  <Object::Object>#[]
